,NAME,,,省会,经度,纬度
143,黄南州,,,,101.5476712,35.10183902
144,黄山,,,,118.0666074,29.96004575
145,黄石,,,,115.0078579,29.91990006
146,惠州,,,,114.5817361,23.16642733
147,鸡西,,,,132.5642025,45.67044219
148,吉安,,,,114.9086818,26.96660114
149,吉林,,,,126.786066,43.67146358
150,济宁,,,,116.6383232,35.2176716
151,济源,,,,112.306752,35.0882778
152,佳木斯,,,,132.664101,47.2640152
153,嘉兴,,,,120.9697488,30.63499633
154,嘉峪关,,,,98.23142136,39.81397334
155,江门,,,,112.5632552,22.15112981
156,焦作,,,,113.0764298,35.15609847
157,揭阳,,,,116.0649653,23.32013528
158,金昌,,,,102.0310589,38.51569734
159,金华,,,,119.9938812,29.08664301
160,锦州,,,,121.493313,41.45431108
161,晋城,,,,112.7483692,35.63329088
162,晋中,,,,113.0887999,37.36149635
163,荆门,,,,112.6800407,31.00235855
164,荆州,,,,112.6158782,30.04522122
165,景德镇,,,,117.2493046,29.32695768
166,九江,,,,115.7174478,29.38499696
167,酒泉,,,,95.51601608,40.30505176
168,喀什地区,,,,76.46557294,37.52500914
169,开封,,,,114.5197594,34.61091977
170,克拉玛依,,,,85.02021007,45.39839302
171,克孜勒苏柯尔克孜,,,,74.92815574,38.89703704
172,来宾,,,,109.2894803,23.86805527
173,莱芜,,,,117.6738859,36.27185151
174,廊坊,,,,116.5287496,39.05159469
175,乐东黎族自治县,,,,109.0277322,18.63102162
176,乐山,,,,103.5351617,29.17824724
177,丽江,,,,100.6154266,26.95670528
178,丽水,,,,119.5802125,28.19860322
179,连云港,,,,119.1267254,34.56619695
180,凉山彝族,,,,102.1490434,27.66235035
181,辽阳,,,,123.3889755,41.13203236
182,辽源,,,,125.2919836,42.76619412
183,聊城,,,,115.8957678,36.39760863
184,林芝,,,,94.61242177,29.15400454
185,临沧,,,,99.61862332,24.0479574
186,临汾,,,,111.4954713,36.16283284
187,临高县,,,,109.7182079,19.80804331
188,临夏回族,,,,103.2789974,35.56778681
189,临沂,,,,118.3061096,35.30414082
190,陵水黎族自治县,,,,110.0165181,18.5448268
191,柳州,,,,109.3127795,24.97937307
192,六安,,,,116.292719,31.84163793
193,六盘水,,,,104.7619514,26.12063841
194,龙岩,,,,116.6868323,25.20319044
195,陇南,,,,105.2737603,33.57015528
196,娄底,,,,111.4357469,27.72459213
197,泸州,,,,105.4209881,28.49197157
198,洛阳,,,,111.8804973,34.31882323
199,漯河,,,,113.9106236,33.6944102
